Mi-Yen Yeh-->dasfaa:0.710320223238,tkde:0.681235077363,dawak:0.600396583144,vldb:0.592377304885,dmkd:0.556184105837,kais:0.553054002682,dexa:0.51264946879,widm:0.50457100222,cikm:0.499471629538,asunam:0.489100280583,dolap:0.485356711901,tsdm:0.480619412715,icwsm:0.41510104149,kdd:0.414428087377,kdid:0.389655339203,pakdd:0.37794951301,datamine:0.371313744233,tkdd:0.353906031952,cinq:0.338322985229,sdm:0.336661107636,icdm:0.330365229765,www:0.316049577896,adma:0.280582908604,sadm:0.256430829391,dmkdttt:0.256001189814,mlg:0.252862705679,ideal:0.22893527699,pkdd:0.227811166114,ijbidm:0.226067586654,sigkdd:0.222630952946,ida:0.218183710793,dw:0.218104231192,minenet:0.205878689376,cidm:0.196768587875,dmdw:0.19371604672,ausdm:0.190015044981,classification:0.180670296453,ijdmmm:0.171579099291,dmin:0.169761241707,mldm:0.166009720731,casdmkm:0.145984645415,fimi:0.136601872304,iat:0.12935991543,aisadm:0.129254672631,admi:0.129145088433,riao:0.116213762954,dis:0.109155121173,wkdd:0.109018120527,ijdmb:0.104297016732,webmine:0.0988049572421,incdm:0.0968938198331,ijkedm:0.0954567769181,ijict:0.0936848062385,tgis:0.0926235759999,jaif:0.0886984018732,itpro:0.0880302408302,vdmb:0.082384452142,isjgp:0.0741009847889,dq:0.0722170075919,biodatamining:0.0708310726884,icetet:0.0695597249622,edm:0.0600252341135,dmo:0.0579828028095,oir:0.051827908333,csda:0.050874023197,grc:0.0501767635413,inffus:0.0383358166469,jecr:0.0340306335126,ipl:0.0329280416438,jkm:0.0254212918834,trs:0.0252865893256,kelsi:0.024210583652,ijicte:0.0177829842893,ijkm:0.0170692755688
Qiang Zhao-->csda:0.723662480986,kelsi:0.379216632006,ijdmb:0.35132782296,ausdm:0.329888099003,dis:0.315524189029,classification:0.313183884078,ida:0.309521437293,sadm:0.286496758998,incdm:0.285657714932,vdmb:0.281053882275,casdmkm:0.280235102585,mlg:0.248743022056,biodatamining:0.244476439214,cinq:0.241244966865,dmo:0.210824378015,aisadm:0.210485796209,ideal:0.210465927751,ijbidm:0.203351236715,ijkedm:0.194417152939,ijdmmm:0.19171616789,kdid:0.185239190264,mldm:0.183567320957,admi:0.173962403843,pkdd:0.171854207194,cidm:0.164564284652,dmin:0.162410154351,ipl:0.162050506216,adma:0.15707467294,sigkdd:0.150138476192,kdd:0.141541147446,icetet:0.124450281358,inffus:0.124015551962,tgis:0.120742083912,icdm:0.118511578382,pakdd:0.118176468754,ijict:0.114263503281,datamine:0.110477112202,widm:0.108668745068,jaif:0.108435365803,webmine:0.105146681302,tkdd:0.0950483863329,sdm:0.0845811930396,kais:0.0832223095358,edm:0.0767167121245,dq:0.0670114801434,www:0.0613216650758,trs:0.0605238523638,dmkd:0.0583128740697,icwsm:0.0531718056952,cikm:0.0524656353243,grc:0.040839479892,dawak:0.0364690634302,dmkdttt:0.0337689045201,oir:0.0328550697457,itpro:0.0309750752762,isjgp:0.0301809756314,jecr:0.0296788062739,asunam:0.0292453453901,riao:0.0198757734088,minenet:0.0192067066413,ijicte:0.0178252570019,dolap:0.0126964216851,dw:0.0122710113536,ijkm:0.0121930911589,dasfaa:0.0107491822819,tsdm:0.0100053173813,fimi:0.00999620776894,dmdw:0.00932515226409,tkde:0.00818371845794,dexa:0.00693523009597,jkm:0.0044890439035,iat:0.0,vldb:0.0,wkdd:0.0
Ruixuan Li-->pkdd:0.634986675041,adma:0.593047506199,icdm:0.583903423116,mldm:0.579766822699,pakdd:0.545759556721,kais:0.507904034964,sdm:0.489130225633,tkdd:0.484121623687,mlg:0.473986143532,cidm:0.455900905117,ida:0.409309636283,kdd:0.397735670867,datamine:0.351646472557,cikm:0.348274147908,dis:0.346232775516,dasfaa:0.321318653897,dmin:0.300861501432,fimi:0.300125704921,ideal:0.293900872364,ijdmmm:0.282028849015,tkde:0.271983101083,cinq:0.240032128399,dawak:0.239959556684,ausdm:0.239318431863,ijdmb:0.235222698428,vldb:0.229588088804,dexa:0.208955270659,ijbidm:0.203535973302,incdm:0.202198263844,sadm:0.183238283599,dw:0.180167979865,kdid:0.162332656598,sigkdd:0.140748614014,edm:0.136967444946,widm:0.136863615956,biodatamining:0.123873112458,dmkd:0.122883184828,minenet:0.0990245061801,dmo:0.097117679972,vdmb:0.0939345104146,grc:0.0936901485436,wkdd:0.092518234893,dolap:0.0920583411977,jaif:0.0866096425346,aisadm:0.0790914983802,admi:0.0732919678214,dmkdttt:0.0704830697634,www:0.0576012677494,ijkedm:0.0418344862655,riao:0.0413353588526,trs:0.0364389690951,classification:0.0345483498477,tsdm:0.0337826627425,webmine:0.033441113104,kelsi:0.0218405845007,ipl:0.0146562721699,dmdw:0.0144293252758,csda:0.00569103641028,jecr:0.00531765568341,asunam:0.00395819846956,ijkm:0.00318415371339,itpro:0.0,isjgp:0.0,oir:0.0,ijict:0.0,iat:0.0,ijicte:0.0,dq:0.0,tgis:0.0,icetet:0.0,jkm:0.0,inffus:0.0,icwsm:0.0,casdmkm:0.0
Birgitta K-->webmine:0.370910625527,www:0.316390083161,ijict:0.216498647648,ijkedm:0.176893955985,iat:0.176597735028,dexa:0.168931040253,widm:0.159762324147,cikm:0.139982239664,admi:0.131056643009,riao:0.124782283772,wkdd:0.114210340169,icetet:0.110116966823,ijkm:0.107963055411,ijdmmm:0.101081002029,vldb:0.0973022797921,vdmb:0.097021542946,tkde:0.0851283536921,kais:0.0734652856139,sigkdd:0.0725862735169,dasfaa:0.0708943890295,oir:0.0699947896259,jkm:0.06875138008,jaif:0.0664321554895,adma:0.0641828706791,dmin:0.0633102375025,kdd:0.063249206471,dmdw:0.0588986237845,dmo:0.0513476236891,kdid:0.0498962332309,dw:0.0498879032355,minenet:0.047568031745,inffus:0.0473490858242,itpro:0.0450149443426,pkdd:0.0446723883971,kelsi:0.0446708446076,icdm:0.0446138399027,casdmkm:0.0387401947087,sadm:0.0373605244858,icwsm:0.0363966265152,cidm:0.0339587954005,mlg:0.0332711320082,tgis:0.0331157013946,biodatamining:0.0315860512997,ijbidm:0.0307994252637,dis:0.0298582381981,tsdm:0.0290203375277,ausdm:0.0196321904597,trs:0.018368579808,dawak:0.0174836105803,aisadm:0.0171660336947,ideal:0.0167373129856,pakdd:0.0148568824229,ijicte:0.0147647361355,dq:0.0132432596351,grc:0.0110033032929,dmkdttt:0.0109334631218,isjgp:0.00842469044444,jecr:0.00824411724982,dolap:0.00777607807442,dmkd:0.00630148445135,ida:0.00579491514729,edm:0.0056546102538,asunam:0.00553439352705,ijdmb:0.00304210403061,ipl:0.0,datamine:0.0,csda:0.0,tkdd:0.0,mldm:0.0,classification:0.0,cinq:0.0,sdm:0.0,fimi:0.0,incdm:0.0
Anne N. De Roeck-->riao:0.504530975755,dexa:0.382146932909,webmine:0.340746740795,vldb:0.279284599212,widm:0.260489631467,cikm:0.254459661802,www:0.219601728932,iat:0.181054736966,tkde:0.17630344087,dasfaa:0.15741236028,biodatamining:0.154193108866,tsdm:0.137034230234,ijict:0.131204324794,dmin:0.122456164335,icetet:0.117291527268,casdmkm:0.109079572547,minenet:0.103435141424,tgis:0.0989151079679,kais:0.0985245533102,ausdm:0.0928923774462,vdmb:0.0918283929164,wkdd:0.0864319020265,dawak:0.0860506941116,icwsm:0.0839242158283,aisadm:0.0788342860178,edm:0.0781729216428,ijicte:0.0759482336818,ijkm:0.0687350161105,oir:0.0593245222949,dmo:0.0593130865232,ijbidm:0.0584817136891,inffus:0.0530359126936,pakdd:0.0517257575281,pkdd:0.0500158573619,ijdmmm:0.0490052959132,jecr:0.0443675314403,dis:0.0431287273028,adma:0.0390190603513,isjgp:0.0386900356787,dolap:0.0357113107151,dmkd:0.0340689375198,grc:0.031362166498,jkm:0.0271689714516,kdid:0.0238182720889,sadm:0.0230181631744,trs:0.0218860698881,fimi:0.0197670522906,jaif:0.0172701637058,itpro:0.0130339335285,ideal:0.0125524714324,ida:0.0109541890548,sigkdd:0.00810412007934,admi:0.00728181777369,kelsi:0.0066416693899,dmdw:0.0,icdm:0.0,ipl:0.0,dw:0.0,datamine:0.0,csda:0.0,tkdd:0.0,mldm:0.0,classification:0.0,kdd:0.0,dq:0.0,ijkedm:0.0,cinq:0.0,cidm:0.0,sdm:0.0,dmkdttt:0.0,ijdmb:0.0,mlg:0.0,asunam:0.0,incdm:0.0
Long Yang-->ijkedm:0.269424090513,biodatamining:0.268020129641,classification:0.249100389292,ijdmb:0.201837455698,ida:0.143374063779,tgis:0.141985338828,dmdw:0.123463933773,dmkdttt:0.0926238657319,dasfaa:0.089245527517,dolap:0.0850373156607,dawak:0.0841718343238,vldb:0.0731101334437,csda:0.0567052131628,dexa:0.053276879622,tkde:0.0522730484769,dmkd:0.0495023430302,grc:0.0459719874141,cikm:0.0437705500894,dw:0.0431388771872,mlg:0.0390843335726,widm:0.0388602172558,kais:0.0359786660594,ijict:0.0340687899658,ijbidm:0.0313399223179,cidm:0.0301234723464,ausdm:0.027916062594,mldm:0.0261916033484,www:0.0249939291195,icdm:0.0219467456229,dmo:0.0216818883674,dmin:0.0212331762158,incdm:0.0209697010134,sadm:0.0209454172348,adma:0.0208711912897,pakdd:0.0205276737541,ideal:0.0196573421943,datamine:0.0195525324314,ipl:0.0174081606322,iat:0.0171170090589,sdm:0.0165615156015,kdd:0.015141790981,cinq:0.0150133311166,jaif:0.0114781480523,wkdd:0.0110564809004,pkdd:0.0109249386971,vdmb:0.0108898240535,ijkm:0.0108225552747,kdid:0.00999776520609,icetet:0.00978766759718,riao:0.008584541549,jkm:0.00720644577224,kelsi:0.00512319665565,itpro:0.00409598260857,oir:0.0035061412833,tsdm:0.00332622664052,trs:0.00261232653908,webmine:0.0,sigkdd:0.0,edm:0.0,aisadm:0.0,tkdd:0.0,isjgp:0.0,ijicte:0.0,dq:0.0,admi:0.0,inffus:0.0,minenet:0.0,jecr:0.0,fimi:0.0,icwsm:0.0,casdmkm:0.0,asunam:0.0,ijdmmm:0.0,dis:0.0
Sheng Huang-->cikm:0.634927512966,widm:0.498988951471,www:0.496316267268,dasfaa:0.47808424158,vldb:0.366845772706,dexa:0.362096388478,riao:0.319045304716,tkde:0.26923927364,dw:0.258819808657,oir:0.234007982161,icwsm:0.218976071052,kais:0.190593766923,dolap:0.185090184227,minenet:0.157626441769,mlg:0.147596670693,kdd:0.112879124499,itpro:0.106172091781,ijkedm:0.105678145558,incdm:0.10401747288,ijbidm:0.0985002118624,adma:0.0940522951989,dawak:0.0924859577936,isjgp:0.0918724419134,cinq:0.0792673862492,iat:0.0788025282439,dmo:0.0752147457608,dmkdttt:0.0718461205928,edm:0.0715357679683,cidm:0.0709580012946,ausdm:0.069307717204,sigkdd:0.067338920354,tgis:0.064112348702,biodatamining:0.0542436887869,mldm:0.0504299966391,ijdmmm:0.0491933968238,tkdd:0.0481784879179,jaif:0.0481439639318,asunam:0.0469051214256,dmin:0.046537261661,ijicte:0.0421951431836,ideal:0.0351318588339,tsdm:0.0336040007315,sadm:0.029572415056,dmkd:0.0290939956799,fimi:0.0283933961152,casdmkm:0.0261510358,dis:0.0260692440708,dmdw:0.0257342021946,jecr:0.0249019149084,aisadm:0.0230735765117,ipl:0.0210544268826,classification:0.0174226495459,ijdmb:0.0169684010918,wkdd:0.0168251938577,pakdd:0.0150464305323,icetet:0.0143088798481,pkdd:0.0142181758531,trs:0.013195828533,grc:0.0125488918055,ida:0.0108223981715,inffus:0.0108141602303,webmine:0.0106721992753,ijkm:0.0105685768347,kelsi:0.00961816901878,admi:0.00841906634153,sdm:0.00731638350702,icdm:0.00688461141094,ijict:0.00645141233446,kdid:0.0043296400272,jkm:0.00155677159968,datamine:0.0,csda:0.0,vdmb:0.0,dq:0.0
Cane Wing-ki Leung-->asunam:0.590720377809,icwsm:0.521843774206,kdd:0.436430022188,pakdd:0.356818249444,ausdm:0.346103775244,icdm:0.343622894949,datamine:0.338680469258,ijbidm:0.325133872574,mlg:0.312790013286,cidm:0.310192571405,pkdd:0.29093070191,ijdmmm:0.287798683822,incdm:0.284121976646,dmin:0.283737606272,www:0.280888232985,dis:0.275151886185,kais:0.268332494835,ida:0.262566224974,adma:0.258937204655,edm:0.258913495528,sdm:0.257216029387,dmkd:0.254060058256,sigkdd:0.248232243726,dmkdttt:0.243082087122,mldm:0.229646980125,tkdd:0.225809009734,widm:0.192805473045,sadm:0.182623616919,webmine:0.181583719058,cikm:0.165890570149,ijkedm:0.160673289929,dawak:0.158770717664,aisadm:0.151379455016,ideal:0.141709051049,jaif:0.140916341761,iat:0.126497561425,cinq:0.12413241482,ijdmb:0.120354255102,biodatamining:0.112744527242,admi:0.11168657817,kdid:0.0823547583876,tsdm:0.0777780041719,minenet:0.0721280733346,fimi:0.0649846527864,icetet:0.0593173380316,oir:0.0544680772988,dmo:0.0490988624154,wkdd:0.0476801994551,kelsi:0.0429240098586,dasfaa:0.0427091316054,riao:0.0411233532634,ijict:0.0391995607602,trs:0.0364329013647,grc:0.0362590655469,tkde:0.0344266120284,isjgp:0.0298468208856,casdmkm:0.028450382427,itpro:0.0284286653513,dw:0.0231613701558,jecr:0.0220169552254,jkm:0.0189128927166,dexa:0.0160087638114,dmdw:0.0155695058052,dolap:0.0155459478614,inffus:0.013584007539,ijkm:0.0107105176116,classification:0.00955924144085,ipl:0.0,csda:0.0,vdmb:0.0,ijicte:0.0,dq:0.0,tgis:0.0,vldb:0.0
Kentaro Inui-->biodatamining:0.262544059076,icetet:0.198321987694,mldm:0.184139399198,ausdm:0.153947550072,ideal:0.133101709121,ijbidm:0.132714770437,dis:0.124479938041,jaif:0.124471551725,ijdmb:0.119356463785,kelsi:0.113027615058,ijdmmm:0.112291325708,dmin:0.0849406702054,cidm:0.0840689058382,pkdd:0.0840094479218,oir:0.0821615614594,kdd:0.0796900983611,ida:0.076937381767,ijict:0.073889541244,pakdd:0.0731244556379,vdmb:0.0723968608499,inffus:0.0710564239271,incdm:0.0698643670921,www:0.06837795234,widm:0.0681137976266,cinq:0.0632055051239,cikm:0.0617204264953,riao:0.0581664716717,aisadm:0.0570595905843,webmine:0.0553132682839,iat:0.0552667188435,adma:0.0512267233578,dolap:0.0505254826993,icdm:0.0500830823215,dmkd:0.0495307751207,ijkedm:0.0468894390886,kais:0.0467129780282,classification:0.0460160174042,minenet:0.045882890645,ijicte:0.0412955652388,datamine:0.0412861559762,kdid:0.040404058426,icwsm:0.0388301664679,fimi:0.0387378674619,dmo:0.0380784507397,tgis:0.037102283016,admi:0.0370917377777,sdm:0.0363239036269,mlg:0.0335928412273,jkm:0.0335261805789,itpro:0.0329504063168,tkdd:0.0277276394081,dmkdttt:0.0266927781319,csda:0.0227241301939,dasfaa:0.0217001550556,asunam:0.021148878707,dexa:0.0193598098757,dmdw:0.0174138090961,tsdm:0.0169164906676,edm:0.0168146515535,dawak:0.0163833436778,isjgp:0.0146905152951,trs:0.013246087716,casdmkm:0.0130501254045,ijkm:0.0109337101177,sadm:0.0108550324665,sigkdd:0.0106423723493,dw:0.00961988837481,jecr:0.00938085466338,tkde:0.00392773609345,ipl:0.00271149091851,dq:0.0,vldb:0.0,wkdd:0.0,grc:0.0
Jun Hong-->webmine:0.431105635941,ijicte:0.384136140819,www:0.274433678628,edm:0.26765617107,riao:0.267567761313,widm:0.259648992025,cikm:0.199943422897,tgis:0.183127714172,ausdm:0.177253950973,biodatamining:0.145699583345,icetet:0.14552460424,oir:0.13126545952,jecr:0.129174492951,dmin:0.11401221734,iat:0.111922446797,admi:0.108220636375,icwsm:0.10471716698,minenet:0.102491088498,dq:0.101102128045,jaif:0.0928539319938,ijbidm:0.0924133955326,inffus:0.0900731598567,vdmb:0.0893298769906,kais:0.0888215287639,dexa:0.0850075449278,ideal:0.0834971176621,sigkdd:0.0767461550554,isjgp:0.075727095502,ida:0.0745535125147,vldb:0.0740702499462,adma:0.07255646636,itpro:0.0695442812676,pkdd:0.0620045840165,dawak:0.0602847623542,pakdd:0.0587487295181,ijdmmm:0.0575073628458,dmdw:0.0560819270525,kdd:0.0511231507618,dasfaa:0.0469995006679,dmkd:0.0468019522905,dolap:0.0467435420801,casdmkm:0.0447320329798,dis:0.0427393464063,aisadm:0.0417650095957,ijkm:0.0387607092038,incdm:0.0382304857189,kelsi:0.0364772856447,icdm:0.0353193034614,dmo:0.0344077732325,mldm:0.0319140640976,ijkedm:0.0314597387161,ijict:0.0274228716931,ijdmb:0.0254469963447,tkde:0.0246785059641,dmkdttt:0.0242598071677,cidm:0.0241505674938,sadm:0.0240980344773,fimi:0.0219388618863,kdid:0.0214223820517,tsdm:0.0184465980569,cinq:0.0147226362326,mlg:0.0126779392348,wkdd:0.00709887522742,sdm:0.00547083644123,csda:0.00519423578595,datamine:0.00494971680054,classification:0.00406817449736,grc:0.00401199291782,ipl:0.0,dw:0.0,tkdd:0.0,jkm:0.0,asunam:0.0,trs:0.0
Srihari Reddy-->iat:0.171009899132,cikm:0.15778820743,www:0.131056534283,ijdmb:0.0997105543375,riao:0.0944212408015,widm:0.0636734953826,admi:0.0627231117279,kdd:0.0618137602854,dolap:0.0562614126359,dmdw:0.0346887077434,tkde:0.00787575833451,dasfaa:0.00744368526567,vldb:0.00655869467476,sigkdd:0.00609881029524,icdm:0.00577865487121,dexa:0.00554887881295,jaif:0.00533794184323,webmine:0.00349695251541,itpro:0.0,ausdm:0.0,ipl:0.0,edm:0.0,aisadm:0.0,ijbidm:0.0,dw:0.0,datamine:0.0,csda:0.0,dawak:0.0,vdmb:0.0,pkdd:0.0,pakdd:0.0,ijkm:0.0,tkdd:0.0,mldm:0.0,isjgp:0.0,biodatamining:0.0,classification:0.0,oir:0.0,ideal:0.0,kelsi:0.0,ijict:0.0,ijicte:0.0,dq:0.0,tgis:0.0,ijkedm:0.0,icetet:0.0,wkdd:0.0,sadm:0.0,adma:0.0,jkm:0.0,tsdm:0.0,inffus:0.0,dmin:0.0,cinq:0.0,cidm:0.0,dmkd:0.0,sdm:0.0,dmkdttt:0.0,minenet:0.0,jecr:0.0,fimi:0.0,icwsm:0.0,mlg:0.0,kais:0.0,casdmkm:0.0,dmo:0.0,grc:0.0,kdid:0.0,asunam:0.0,incdm:0.0,ijdmmm:0.0,trs:0.0,dis:0.0,ida:0.0
